Date,Visitor,Visitor Score,Home Team,Home Score,Line
11/23/2013,Brigham Young,13,Notre Dame,23,1.0
11/23/2013,Baylor,17,Oklahoma State,49,-8.0
11/23/2013,Middle Tennessee,42,Southern Miss,21,-22.5
11/23/2013,Georgia State,33,Arkansas State,35,24.0
11/23/2013,Washington,69,Oregon State,27,2.0
11/23/2013,UL-Monroe,14,South Alabama,36,3.5
11/23/2013,S-M-U,16,South Florida,6,-4.5
11/23/2013,New Mexico,28,Fresno State,69,33.0
11/23/2013,New Mexico State,10,Florida Atlantic,55,22.5
11/23/2013,Tulsa,24,Louisiana Tech,14,-3.0
11/23/2013,Oklahoma,41,Kansas State,31,5.0
11/23/2013,Missouri,24,Mississippi,10,-2.0
11/23/2013,Utah,37,Washington State,49,2.0
11/23/2013,Boise State,31,San Diego State,34,-6.5
11/23/2013,Old Dominion,20,North Carolina,80, 
11/23/2013,Chattanooga,0,Alabama,49, 
11/23/2013,Georgia Southern,26,Florida,20, 
11/23/2013,Coastal Carolina,10,South Carolina,70, 
11/23/2013,Alabama A+M,7,Georgia Tech,66, 
11/23/2013,The Citadel,6,Clemson,52, 
11/26/2013,Western Michigan,14,Northern Illinois,33,35.0
11/28/2013,Texas Tech,16,Texas,41,4.5
11/28/2013,Mississippi,10,Mississippi State,17,-3.0
11/29/2013,Iowa,38,Nebraska,17,2.5
11/29/2013,Toledo,29,Akron,31,-11.0
11/29/2013,Miami-Ohio,14,Ball State,55,35.0
11/29/2013,Eastern Michigan,10,Central Michigan,42,17.5
11/29/2013,Massachusetts,23,Ohio,51,19.5
11/29/2013,East Carolina,28,Marshall,59,3.0
11/29/2013,Bowling Green,24,Buffalo,7,-3.5
11/29/2013,Arkansas,27,Louisiana State,31,28.0
11/29/2013,Texas State,28,Troy,42,8.5
11/29/2013,Florida Intl,6,Florida Atlantic,21,27.5
11/29/2013,South Florida,20,U-C-F,23,26.0
11/29/2013,Fresno State,52,San Jose State,62,-10.5
11/29/2013,Miami-Florida,41,Pittsburgh,31,-1.5
11/29/2013,Washington State,17,Washington,27,16.5
11/29/2013,S-M-U,0,Houston,34,9.5
11/29/2013,Oregon State,35,Oregon,36,23.5
11/30/2013,Ohio State,42,Michigan,41,-17.0
11/30/2013,Boston College,31,Syracuse,34,-2.5
11/30/2013,Maryland,41,No Carolina State,21,-3.0
11/30/2013,Wake Forest,21,Vanderbilt,23,14.5
11/30/2013,Duke,27,North Carolina,25,5.0
11/30/2013,Iowa State,52,West Virginia,44,7.5
11/30/2013,Northwestern,37,Illinois,34,-3.5
11/30/2013,Purdue,36,Indiana,56,20.5
11/30/2013,Rutgers,17,Connecticut,28,-2.0
11/30/2013,Tennessee,27,Kentucky,14,-3.5
11/30/2013,Minnesota,3,Michigan State,14,17.0
11/30/2013,Temple,41,Memphis,21,8.0
11/30/2013,Southern Miss,62,U-A-B,27,15.0
11/30/2013,South Alabama,38,Georgia State,17,-8.0
11/30/2013,Wyoming,7,Utah State,35,24.0
11/30/2013,Colorado,17,Utah,24,16.5
11/30/2013,Brigham Young,28,Nevada-Reno,23,-16.5
11/30/2013,Tulane,13,Rice,17,9.5
11/30/2013,Georgia,41,Georgia Tech,34,-2.5
11/30/2013,Texas A+M,21,Missouri,28,4.0
11/30/2013,Virginia Tech,16,Virginia,6,-10.5
11/30/2013,Alabama,28,Auburn,34,-10.0
11/30/2013,New Mexico,17,Boise State,45,36.0
11/30/2013,Baylor,41,Texas Christian,38,-14.5
11/30/2013,Florida State,37,Florida,7,-28.0
11/30/2013,Air Force,13,Colorado State,58,17.0
11/30/2013,Kansas State,31,Kansas,10,-18.0
11/30/2013,Penn State,31,Wisconsin,24,25.0
11/30/2013,Louisiana Tech,10,Texas-San Antonio,30,16.5
11/30/2013,Idaho,16,New Mexico State,24,2.5
11/30/2013,San Diego State,19,Nevada-Las Vegas,45,-4.5
11/30/2013,Arkansas State,31,Western Kentucky,34,6.0
11/30/2013,North Texas,42,Tulsa,10,-4.0
11/30/2013,UL-Monroe,31,UL-Lafayette,28,17.5
11/30/2013,UTEP,17,Middle Tennessee,48,24.0
11/30/2013,Clemson,17,South Carolina,31,3.0
11/30/2013,U.C.L.A.,35,Southern Cal,14,4.5
11/30/2013,Notre Dame,20,Stanford,27,16.5
11/30/2013,Arizona,21,Arizona State,58,11.0
11/30/2013,Army,42,Hawaii,49,6.5
12/05/2013,Louisville,31,Cincinnati,24,-3.0
12/06/2013,Bowling Green,47,Northern Illinois,27,3.0
12/07/2013,Memphis,10,Connecticut,45,-1.5
12/07/2013,South Florida,6,Rutgers,31,3.5
12/07/2013,Texas,10,Baylor,30,16.0
12/07/2013,UL-Lafayette,8,South Alabama,30,3.0
12/07/2013,U-C-F,17,S-M-U,13,-13.5
12/07/2013,Oklahoma,33,Oklahoma State,24,10.0
12/07/2013,Marshall,24,Rice,41,-6.5
12/07/2013,Missouri,42,Auburn,59,-1.0
12/07/2013,Duke,7,Florida State,45,29.5
12/07/2013,Stanford,38,Arizona State,14,3.5
12/07/2013,Ohio State,24,Michigan State,34,-5.5
12/07/2013,Utah State,17,Fresno State,24,3.0
12/14/2013,Army,7,Navy,34,12.0
